ID;BUURT;CRIMES_2010;CRIMES_2011;CRIMES_2012;CRIMES_2013;CRIMES_2014;SAFETY_RATE_2014;CRIME_RATE_2014;GP_2013;GP_2014;GP_2015;PHARM_2014;PHARM_2015;RECR_TERR_2015;AGRI_TERR_2015;POP_2015;%NON-WEST_2015;%65PLUS_2015;%FAM_KIDS_2015;POP_2020;HOUS_2015;AVG_OCC_2015;AVG_SIZE_2015;AVG_HOUS_2015;%OWN_OCC_2015;AVG_LENGTH_STAY_2015;%LOW_INC_HOUS_2012;AVG_DISP_INC_2012;POP_0-3_2015;POP_4-12_2015;POP_13-17_2015;POP_18-22_2015;POP_23-24_2015;POP_25-49_2015;POP_50-64_2015;POP_65_2015;SURIN_2015;ANTIL_2015;TURK_2015;MAROK_2015;NON_WEST_IMM_2015;WEST_IMM_2015;AUTOCH_2015;LESS_1_RES_2015;TIME_1-4_RES_2015;TIME_5-9_RES_2015;TIME_10-14_RES_2015;TIME_15-19_RES_2015;TIME_20-24_RES_2015;PLUS_25_RES_2015;BIRTH_2010;BIRTH_2011;BIRTH_2012;BIRTH_2013;BIRTH_2014;DEATH_2010;DEATH_2011;DEATH_2012;DEATH_2013;DEATH_2014;BUSIN_2011;BUSIN_2012;BUSIN_2013;BUSIN_2014;BUSIN_2015;EMPLOY_2011;EMPLOY_2012;EMPLOY_2013;EMPLOY_2014;EMPLOY_2015;UNEMP_BEN_15-34_2015;UNEMP_BEN_35-54_2015;UNEMP_BEN_55-65_2015;SCHOOLS_2015;PROP_VALUE_*1000_2011;PROP_VALUE_*1000_2012;PROP_VALUE_*1000_2013;PROP_VALUE_*1000_2014;PROP_VALUE_*1000_2015;HOUSE_FOREC_2015;HOUSE_FOREC_2020;HOUSE_FOREC_2025;HOUSE_FOREC_2030;HOUSE_FOREC_2035;TOT_INHAB_ADD_2015;;;;;
E43;Westindische Buurt;441;408;471;419;385;78;68;1;1;1;0;0;0,00;0,00;6793;19,5;8,3;19,8;6721;3609;1,88;3,3;219;30,5;8,2;25,7;806;410;387;137;447;306;3642;902;562;220;65;229;296;1323;1332;4138;706;1662;1282;742;513;401;1487;121;114;108;127;146;19;19;26;27;22;655;698;732;784;806;1655;1762;1741;1712;1747;40;90;30;1;238;236;226;218;219;3609;3598;3598;3598;3598;3464;;;;;
F75;Spieringhorn;106;63;59;88;73;124;125;0;0;0;0;0;78.70;0,00;3;0;0;0;0;1;3,00;5,0;0;0;12,3;0;2;0;0;0;0;1;1;1;0;0;0;0;0;0;0;3;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;4;4;3;2;327;435;413;260;216;0;0;0;0;0;0;0;0;0;1;1;1;1;1;3;;;;;
F76;Slotermeer-Noordoost;1061;995;1096;958;853;131;123;8;6;8;2;2;12.86;0,00;9469;64,2;9,5;33,7;9546;4207;2,25;3,1;140;26,7;9,1;33,3;666;593;1134;515;637;339;3924;1428;899;570;88;1727;2557;6082;1082;2305;682;1648;1394;1157;957;940;2691;171;165;154;160;164;36;51;42;50;51;543;552;600;645;666;1416;1364;1427;1479;1419;60;110;40;4;166;161;153;143;140;4207;4182;4334;4334;4334;4019;;;;;
F77;Slotermeer-Zuidwest;1729;1724;1678;1665;1523;138;140;9;10;6;2;2;75.27;0,00;17015;61,6;11,7;31,7;17158;7568;2,25;3,2;143;22,6;9,0;35,1;1044;969;1893;963;1207;678;6535;2772;1998;1019;163;2811;4777;10488;1777;4750;1102;2910;2458;1978;1667;1696;5204;263;254;245;234;253;140;124;143;133;83;802;895;928;991;1044;2799;2876;3067;2792;2985;130;200;100;4;166;163;154;141;143;7568;7574;7585;7798;7798;7337;;;;;
F78;Geuzenveld;1039;908;952;938;957;124;125;7;7;5;1;2;18.37;0,00;15041;64,0;10,7;39,1;14998;6020;2,50;3,5;172;19,5;7,0;29,3;848;989;1918;940;1073;552;5802;2160;1607;856;154;3458;3811;9628;1576;3837;1061;2790;2131;1732;1405;1375;4547;243;238;253;239;259;130;123;117;127;124;579;670;756;792;848;1496;1681;1746;1766;1841;100;160;70;4;172;187;177;165;172;6020;6068;5696;5802;5802;5701;;;;;
F79;Eendracht;210;186;162;145;149;99;99;0;0;0;0;0;153.40;22.90;2329;39,3;14,6;39,9;2372;933;2,50;3,8;229;45,1;12,1;20,0;170;111;186;118;169;90;686;629;340;193;22;284;234;915;318;1096;104;255;212;181;219;224;1134;22;24;27;33;22;10;7;9;15;10;143;146;147;154;170;212;219;208;237;250;10;30;30;0;256;257;246;231;229;933;933;933;933;933;910;;;;;
F80;Lutkemeer/Ookmeer;139;190;191;144;176;90;67;0;0;0;0;0;99.36;288.63;847;11,5;14,5;40,3;890;306;2,77;4,0;368;57,8;13,5;0;223;40;76;48;57;19;242;242;123;28;3;20;25;97;99;651;43;95;107;87;78;65;372;3;15;8;13;11;6;6;8;8;3;189;197;226;211;223;1120;1149;1411;1325;1507;0;0;0;0;428;410;398;374;368;306;322;322;322;322;321;;;;;
F81;Osdorp-Oost;1786;1809;1737;1619;1547;122;106;10;9;8;4;4;17.66;0,00;15756;46,8;20,8;25,3;17382;8292;1,90;3,3;166;26,4;9,5;30,3;1106;795;1349;723;1054;529;5428;2601;3277;1073;145;1537;3106;7370;2046;6340;1086;2630;2139;1358;1319;1202;6022;227;201;213;210;209;155;171;170;167;155;878;941;1013;1067;1106;4077;4066;4072;3969;3962;90;160;90;3;187;188;176;166;166;8292;8754;8901;8901;8901;7700;;;;;
F82;Osdorp-Midden;1110;1016;1013;1069;855;123;99;11;12;11;1;1;14.49;0,00;15743;63,3;11,0;36,3;16103;6596;2,39;3,4;182;27,1;6,0;27,4;884;1169;1959;832;1140;584;6350;1974;1735;1226;201;2531;4383;9969;1767;4007;1134;2955;2639;1642;1415;1356;4602;280;294;268;289;291;118;113;137;135;113;667;716;749;816;884;1845;2076;1998;2167;2213;120;180;40;4;190;198;185;180;182;6596;6603;6625;6625;6625;6295;;;;;
F83;De Punt;459;424;500;454;427;138;123;0;0;0;0;0;2.75;0,00;5494;50,7;15,0;30,7;6663;2478;2,22;3,5;154;40,6;9,3;27,3;390;305;567;274;365;224;2057;877;825;444;68;687;928;2785;703;2006;381;972;757;622;452;434;1876;45;71;72;81;85;54;49;52;59;44;315;339;341;363;390;1485;1343;1230;1160;1226;30;70;20;2;170;168;161;155;154;2478;3080;3181;3181;3181;2357;;;;;
F84;Middelveldsche Akerpolder/Sloten;770;746;747;668;678;91;77;7;7;6;1;1;35.91;7.65;15101;38,9;10,7;46,0;14967;5654;2,67;3,8;263;55,9;10,3;15,8;1167;657;1671;1171;1140;410;4973;3469;1610;1465;126;1310;1720;5869;1786;7446;793;1640;1777;1727;1833;1454;5877;154;165;170;148;151;64;54;58;48;66;919;952;1026;1092;1167;1740;1682;1781;1844;1906;70;180;110;3;288;287;275;260;263;5654;5667;5667;5667;5667;5581;;;;;
F85;Slotervaart;1687;1572;1539;1390;1270;109;107;6;8;5;1;2;31.60;0,00;17602;48,4;15,5;30,9;19304;8077;2,18;3,5;182;24,4;8,7;26,7;1191;887;1897;998;1440;658;6249;2752;2721;1142;134;1799;3762;8516;2402;6684;1294;3031;2410;1928;1734;1439;5766;230;225;233;227;230;244;250;226;200;200;932;1022;1062;1135;1191;9561;9204;9262;9619;8994;100;220;100;5;191;192;186;182;182;8077;8813;8764;8839;8839;7684;;;;;
F86;Overtoomse Veld;1325;1148;1105;1080;975;122;109;5;4;4;2;2;39.77;0,00;11704;58,6;8,7;29,2;13699;4498;2,60;3,6;176;18,3;6,0;24,4;823;554;1182;724;1600;580;4643;1407;1014;539;80;1450;3500;6853;1611;3240;1512;2338;1792;1217;1153;1046;2646;178;147;127;150;136;59;64;67;59;58;652;684;706;746;823;6673;6489;6541;6104;6138;80;100;30;4;181;184;181;176;176;4498;5462;6045;6105;6105;4278;;;;;
F87;Westlandgracht;982;1022;992;786;788;103;99;3;3;2;1;1;22.91;0,00;7448;38,5;9,1;23,8;9736;3813;1,95;3,1;191;24,4;5,3;24,2;992;492;636;226;405;352;3674;986;677;360;93;491;1001;2870;1443;3135;920;2000;1288;738;581;506;1415;88;103;138;126;132;28;28;41;42;43;786;851;925;924;992;6892;7125;7436;6588;6861;60;110;30;1;192;211;199;201;191;3813;4671;5068;5690;5913;3524;;;;;
